Situation,Next,Probability
s1,f1,0.0
s1,f2,0.0
s1,s1,0.0
s1,s2,0.0
s1,s3,0.0
s1,s4,0.0
s1,s5,0.0
s2,f1,0.0
s2,f2,0.0
s2,s1,0.0
s2,s2,0.0
s2,s3,0.0
s2,s4,0.0
s2,s5,0.0
s3,f1,0.9999788277979348
s3,f2,2.6992191084601047e-06
s3,s1,4.097811516889582e-06
s3,s2,3.1428867592837467e-06
s3,s3,3.1721158722814365e-06
s3,s4,4.2351470509587885e-06
s3,s5,3.825021757437048e-06
s4,f1,0.0
s4,f2,0.0
s4,s1,0.0
s4,s2,0.0
s4,s3,0.0
s4,s4,0.0
s4,s5,0.0
s5,f1,0.0
s5,f2,0.0
s5,s1,0.0
s5,s2,0.0
s5,s3,0.0
s5,s4,0.0
s5,s5,0.0
